lowAlpha, highAlpha, lowBeta, highBeta, lowGamma, highGamma, delta, theta, poorSignalLevel, meditation, attention
0, 0, 1, 0, 1, 1, 2, 1, 25, 0, 0
2, 3, 0, 1, 0, 0, 42, 2, 25, 0, 0
29444, 14044, 8665, 4884, 4339, 2968, 140924, 200223, 0, 0, 0
8052, 40135, 24078, 27990, 8404, 13651, 50598, 26591, 0, 0, 0
18850, 15708, 3017, 5984, 4769, 4760, 120901, 79260, 0, 0, 0
19870, 20012, 11793, 4610, 5037, 8697, 578009, 60117, 0, 50, 38
15585, 27471, 3622, 7576, 6519, 2627, 1549133, 93471, 0, 57, 37
6103, 3307, 3536, 6989, 9840, 6112, 418090, 130605, 0, 40, 35
12141, 13929, 23812, 15874, 20839, 12973, 276183, 126539, 0, 34, 40
26245, 30570, 11485, 24312, 20793, 7619, 961535, 326543, 0, 16, 41
25699, 10403, 1814, 4931, 3815, 2095, 302487, 56049, 0, 24, 41
15615, 4823, 4856, 2585, 1870, 2625, 627209, 25129, 0, 57, 43
47015, 42652, 59969, 31313, 24220, 4359, 665263, 456446, 0, 57, 38
14363, 5609, 10831, 5054, 2153, 7311, 1765390, 53564, 0, 67, 38
7397, 3761, 1931, 1803, 2296, 887, 690441, 27256, 26, 67, 38
12818, 9159, 1986, 2653, 2723, 2116, 183170, 84629, 0, 56, 34
26696, 5606, 37759, 30237, 13183, 10868, 797022, 154284, 0, 34, 40
11152, 8236, 1448, 1439, 3168, 962, 666672, 47161, 0, 48, 34
